     1         10          -3.63         1.02     94785.49        2        Inf     start warm-up
     2         15          -3.31         0.89         0.17        2        Inf     
     3         20          -3.92         0.68         0.28        2         11     
     4         25          -2.70         1.25         0.76        2       26.2     
     5         30          -2.84         0.71         0.50        2       14.6     end warm-up
     6         35          -3.25         0.15         4.60        2        110     
     7         40          -3.31         0.14         0.04        2       1.69     
     8         45          -3.12         0.10         0.03        3       1.73     
     9         50          -3.06         0.06         0.03        4       1.11     
    10         55          -2.98         0.07         0.01        5      0.781     
    11         55          -2.94         0.09         0.01        6      0.699     rotoscale
    12         60          -2.94         0.04         0.01        9      0.478     
    13         65          -2.85         0.03         0.00       12       0.52     
    14         70          -2.82         0.03         0.00       15      0.267     
    15         75          -2.67         0.03         0.01       18      0.908     
    16         80          -2.68         0.07         0.00       19       0.27     
    17         80          -2.66         0.07         0.00       19      0.339     rotoscale
    18         85          -2.54         0.09         0.01       19      0.929     
    19         90          -2.67         0.08         0.01       19      0.985     stable
    20         95          -2.66         0.03         0.00       18      0.269     stable
    21        100          -2.66         0.04         0.00       18      0.179     stable
   Inf        100          -2.63         0.03         0.00       50      0.179     finalize
